customer_id,first_name,last_name,email,city,state,zip_code,signup_date,is_active
CUST0000001,John,Hernandez,renee57@example.net,East Denise,SP,76657,2021-11-23,True
CUST0000002,Amber,Mcbride,kylethornton@example.net,South Wendy,MG,19526,2023-10-15,True
CUST0000003,Diana,Cunningham,lonniegrant@example.net,East Lonnieberg,RJ,95800,2023-11-16,True
CUST0000004,Anthony,Flores,tali@example.com,Edwinborough,RJ,14495,2024-05-21,True
CUST0000005,David,Johnson,catherine93@example.net,East Grace,RS,47590,2022-03-17,True
CUST0000006,Christopher,Chan,waynejacobs@example.net,Jackfurt,RS,64915,2022-06-05,True
CUST0000007,Thomas,Martin,antonioduran@example.org,Stephaniebury,MA,97804,2021-12-31,True
CUST0000008,Emily,Harris,carlho@example.com,Wattsmouth,SP,32847,2021-11-06,True
CUST0000009,Ronald,Parsons,zcortez@example.net,New Danielmouth,SP,06060,2023-01-09,True
CUST0000010,Natalie,Sanchez,cterrell@example.net,Blackton,SC,25385,2022-12-09,True
CUST0000011,Kelly,Sanders,kim47@example.org,Phillipston,RS,90934,2021-10-30,True
CUST0000012,Zachary,Thomas,gdavis@example.org,Port Brenda,RJ,91742,2022-09-13,True
CUST0000013,Amy,Long,shannon27@example.net,South Christopher,RS,42978,2021-01-09,False
CUST0000014,Heather,Meadows,jennifermartinez@example.org,Waltersland,CE,69158,2021-06-15,True
CUST0000015,Jasmine,Acosta,nicholasjames@example.org,Arianaberg,SP,21750,2024-06-03,False
CUST0000016,Misty,White,barneskyle@example.com,Courtneyville,MG,17746,2021-03-20,True
CUST0000017,Susan,Smith,alexander77@example.net,New Nicolebury,GO,28927,2021-07-08,True
CUST0000018,Brianna,Alvarez,mramos@example.net,East Nicoleview,SC,81734,2023-11-04,True
CUST0000019,Courtney,Wilkins,brandonhernandez@example.net,Benjaminton,MG,87925,2022-05-08,False
CUST0000020,Belinda,Morrison,samantha01@example.com,East Emily,PE,80597,2023-08-10,True
CUST0000021,Donna,Graves,tammycurry@example.com,North Kaylamouth,PE,48810,2022-10-25,True
CUST0000022,Priscilla,Wilkins,ebridges@example.com,Taylorview,MG,43651,2021-09-05,True
CUST0000023,Alison,Warren,cherylrodriguez@example.net,South Jenniferport,RJ,56475,2022-02-07,True
CUST0000024,Chelsea,Stewart,sara99@example.com,Vasquezburgh,BA,80377,2022-03-07,True
CUST0000025,Jesse,Roberts,aaronjohnson@example.net,Lake Melaniechester,MG,54770,2023-09-01,True
CUST0000026,Brandon,Bailey,alexharris@example.com,Kristyport,RJ,39859,2024-01-14,True
CUST0000027,William,Nguyen,wilsonmathew@example.com,Port Gregorymouth,SP,44795,2022-05-12,False
CUST0000028,Sandra,Mendoza,probles@example.org,Mooremouth,SP,70882,2021-08-23,True
